Datenpunkt ID;Name;ADDR
GWG_Codierstecker_GWGA9;GWGA9: Viessmann UV Frequenz Verstellweg x5;0x10A0
GWG_Codierstecker_GWGB8;GWGB8: Wilo UV Schrittzahl Verstellweg x5;0x10B0
GWG_Codierstecker_GWGB4;GWGB4: Wilo UV Schrittzahl Verstellweg x3;0x10B0
GWG_Codierstecker_GWGB5;GWGB5: Wilo UV Frequenz Verstellweg x3;0x10B0
GWG_Codierstecker_GWGB6;GWGB6: Wilo UV Schrittzahl Verstellweg x4;0x10B0
GWG_Codierstecker_GWGB2;GWGB2: Wilo UV Schrittzahl Verstellweg x2;0x10B0
GWG_Codierstecker_GWGB7;GWGB7: Wilo UV Frequenz Verstellweg x4;0x10B0
GWG_Codierstecker_GWGB9;GWGB9: Wilo UV Frequenz Verstellweg x5;0x10B0
GWG_Codierstecker_GWGB0;GWG_B0: Wilo UV Schrittzahl Verstellweg x1;0x10B0
GWG_Codierstecker_GWGB3;GWGB3: Wilo UV Frequenz Verstellweg x2;0x10B0
GWG_Codierstecker_GWGB1;GWGB1: Wilo UV Frequenz Verstellweg x1;0x10B0
GWG_Codierstecker_GWGBA;GWGBA: Wilo UV Position Heizen;0x10B0
GWG_Codierstecker_GWGC5;GWGC5: Grundfos UV Frequenz Verstellweg x3;0x10C0
GWG_Codierstecker_GWGC0;GWGC0: Grundfos UV Schrittzahl Verstellweg x1;0x10C0
GWG_Codierstecker_GWGC2;GWGC2: Grundfos UV Schrittzahl Verstellweg x2;0x10C0
GWG_Codierstecker_GWGC8;GWGC8: Grundfos UV Schrittzahl Verstellweg x5;0x10C0
GWG_Codierstecker_GWGC4;GWGC4: Grundfos UV Schrittzahl Verstellweg x3;0x10C0
GWG_Codierstecker_GWGC1;GWGC1: Grundfos UV Frequenz Verstellweg x1;0x10C0
GWG_Codierstecker_GWGC6;GWGC6: Grundfos UV Schrittzahl Verstellweg x4;0x10C0
GWG_Codierstecker_GWGCA;GWGCA: Grundfos UV Position Heizen;0x10C0
GWG_Codierstecker_GWGC9;GWGC9: Grundfos UV Frequenz Verstellweg x5;0x10C0
GWG_Codierstecker_GWGC7;GWGC7: Grundfos UV Frequenz Verstellweg x4;0x10C0
GWG_Codierstecker_GWGC3;GWGC3: Grundfos UV Frequenz Verstellweg x2;0x10C0
Schaltzeiten_A1M1_HK_Montag_01;Schaltzeiten_A1M1_HK_Montag_01;0x2000
Schaltzeiten_A1M1_HK_Montag_00;Schaltzeiten_A1M1_HK_Montag_00;0x2000
Schaltzeiten_A1M1_HK_Montag_07;Schaltzeiten_A1M1_HK_Montag_07;0x2000
Schaltzeiten_A1M1_HK_Montag_05;Schaltzeiten_A1M1_HK_Montag_05;0x2000
Schaltzeiten_A1M1_HK_Montag_03;Schaltzeiten_A1M1_HK_Montag_03;0x2000
Schaltzeiten_A1M1_HK_Montag_02;Schaltzeiten_A1M1_HK_Montag_02;0x2000
Schaltzeiten_A1M1_HK_Montag_06;Schaltzeiten_A1M1_HK_Montag_06;0x2000
Schaltzeiten_A1M1_HK_Montag_04;Schaltzeiten_A1M1_HK_Montag_04;0x2000
Schaltzeiten_A1M1_HK_Dienstag_04;Schaltzeiten_A1M1_HK_Dienstag_04;0x2008
Schaltzeiten_A1M1_HK_Dienstag_06;Schaltzeiten_A1M1_HK_Dienstag_06;0x2008
Schaltzeiten_A1M1_HK_Dienstag_01;Schaltzeiten_A1M1_HK_Dienstag_01;0x2008
Schaltzeiten_A1M1_HK_Dienstag_03;Schaltzeiten_A1M1_HK_Dienstag_03;0x2008
Schaltzeiten_A1M1_HK_Dienstag_02;Schaltzeiten_A1M1_HK_Dienstag_02;0x2008
Schaltzeiten_A1M1_HK_Dienstag_07;Schaltzeiten_A1M1_HK_Dienstag_07;0x2008
Schaltzeiten_A1M1_HK_Dienstag_05;Schaltzeiten_A1M1_HK_Dienstag_05;0x2008
Schaltzeiten_A1M1_HK_Dienstag_00;Schaltzeiten_A1M1_HK_Dienstag_00;0x2008
Schaltzeiten_A1M1_HK_Mittwoch_00;Schaltzeiten_A1M1_HK_Mittwoch_00;0x2010
Schaltzeiten_A1M1_HK_Mittwoch_07;Schaltzeiten_A1M1_HK_Mittwoch_07;0x2010
Schaltzeiten_A1M1_HK_Mittwoch_01;Schaltzeiten_A1M1_HK_Mittwoch_01;0x2010
Schaltzeiten_A1M1_HK_Mittwoch_02;Schaltzeiten_A1M1_HK_Mittwoch_02;0x2010
Schaltzeiten_A1M1_HK_Mittwoch_04;Schaltzeiten_A1M1_HK_Mittwoch_04;0x2010
Schaltzeiten_A1M1_HK_Mittwoch_05;Schaltzeiten_A1M1_HK_Mittwoch_05;0x2010
Schaltzeiten_A1M1_HK_Mittwoch_06;Schaltzeiten_A1M1_HK_Mittwoch_06;0x2010
Schaltzeiten_A1M1_HK_Mittwoch_03;Schaltzeiten_A1M1_HK_Mittwoch_03;0x2010
Schaltzeiten_A1M1_HK_Donnerstag_01;Schaltzeiten_A1M1_HK_Donnerstag_01;0x2018
Schaltzeiten_A1M1_HK_Donnerstag_05;Schaltzeiten_A1M1_HK_Donnerstag_05;0x2018
Schaltzeiten_A1M1_HK_Donnerstag_07;Schaltzeiten_A1M1_HK_Donnerstag_07;0x2018
Schaltzeiten_A1M1_HK_Donnerstag_00;Schaltzeiten_A1M1_HK_Donnerstag_00;0x2018
Schaltzeiten_A1M1_HK_Donnerstag_06;Schaltzeiten_A1M1_HK_Donnerstag_06;0x2018
Schaltzeiten_A1M1_HK_Donnerstag_04;Schaltzeiten_A1M1_HK_Donnerstag_04;0x2018
Schaltzeiten_A1M1_HK_Donnerstag_03;Schaltzeiten_A1M1_HK_Donnerstag_03;0x2018
Schaltzeiten_A1M1_HK_Donnerstag_02;Schaltzeiten_A1M1_HK_Donnerstag_02;0x2018
Schaltzeiten_A1M1_HK_Freitag_02;Schaltzeiten_A1M1_HK_Freitag_02;0x2020
Schaltzeiten_A1M1_HK_Freitag_01;Schaltzeiten_A1M1_HK_Freitag_01;0x2020
Schaltzeiten?_A1M1_HK_Freitag_03;Schaltzeiten_A1M1_HK_Freitag_03;0x2020
Schaltzeiten_A1M1_HK_Freitag_00;Schaltzeiten_A1M1_HK_Freitag_00;0x2020
Schaltzeiten_A1M1_HK_Freitag_04;Schaltzeiten_A1M1_HK_Freitag_04;0x2020
Schaltzeiten_A1M1_HK_Freitag_05;Schaltzeiten_A1M1_HK_Freitag_05;0x2020
Schaltzeiten_A1M1_HK_Freitag_06;Schaltzeiten_A1M1_HK_Freitag_06;0x2020
Schaltzeiten_A1M1_HK_Freitag_07;Schaltzeiten_A1M1_HK_Freitag_07;0x2020
Schaltzeiten_A1M1_HK_Samstag_06;Schaltzeiten_A1M1_HK_Samstag_06;0x2028
Schaltzeiten_A1M1_HK_Samstag_00;Schaltzeiten_A1M1_HK_Samstag_00;0x2028
Schaltzeiten_A1M1_HK_Samstag_01;Schaltzeiten_A1M1_HK_Samstag_01;0x2028
Schaltzeiten_A1M1_HK_Samstag_05;Schaltzeiten_A1M1_HK_Samstag_05;0x2028
Schaltzeiten_A1M1_HK_Samstag_07;Schaltzeiten_A1M1_HK_Samstag_07;0x2028
Schaltzeiten_A1M1_HK_Samstag_02;Schaltzeiten_A1M1_HK_Samstag_02;0x2028
Schaltzeiten_A1M1_HK_Samstag_03;Schaltzeiten_A1M1_HK_Samstag_03;0x2028
Schaltzeiten_A1M1_HK_Samstag_04;Schaltzeiten_A1M1_HK_Samstag_04;0x2028
Schaltzeiten_A1M1_HK_Sonntag_05;Schaltzeiten_A1M1_HK_Sonntag_05;0x2030
Schaltzeiten_A1M1_HK_Sonntag_07;Schaltzeiten_A1M1_HK_Sonntag_07;0x2030
Schaltzeiten_A1M1_HK_Sonntag_06;Schaltzeiten_A1M1_HK_Sonntag_06;0x2030
Schaltzeiten_A1M1_HK_Sonntag_04;Schaltzeiten_A1M1_HK_Sonntag_04;0x2030
Schaltzeiten_A1M1_HK_Sonntag_03;Schaltzeiten_A1M1_HK_Sonntag_03;0x2030
Schaltzeiten_A1M1_HK_Sonntag_01;Schaltzeiten_A1M1_HK_Sonntag_01;0x2030
Schaltzeiten_A1M1_HK_Sonntag_02;Schaltzeiten_A1M1_HK_Sonntag_02;0x2030
Schaltzeiten_A1M1_HK_Sonntag_00;Schaltzeiten_A1M1_HK_Sonntag_00;0x2030
NRF_Schaltzeiten_M1_WW_Montag_03;Schaltzeiten_M1_WW_Montag_03;0x2080
NRF_Schaltzeiten_M1_WW_Montag_02;Schaltzeiten_M1_WW_Montag_02;0x2080
NRF_Schaltzeiten_M1_WW_Montag_01;Schaltzeiten_M1_WW_Montag_01;0x2080
NRF_Schaltzeiten_M1_WW_Montag_04;Schaltzeiten_M1_WW_Montag_04;0x2080
NRF_Schaltzeiten_M1_WW_Montag_05;Schaltzeiten_M1_WW_Montag_05;0x2080
NRF_Schaltzeiten_M1_WW_Montag_00;Schaltzeiten_M1_WW_Montag_00;0x2080
NRF_Schaltzeiten_M1_WW_Montag_07;Schaltzeiten_M1_WW_Montag_07;0x2080
NRF_Schaltzeiten_M1_WW_Montag_06;Schaltzeiten_M1_WW_Montag_06;0x2080
NRF_Schaltzeiten_M1_WW_Dienstag_04;Schaltzeiten_M1_WW_Dienstag_04;0x2088
NRF_Schaltzeiten_M1_WW_Dienstag_06;Schaltzeiten_M1_WW_Dienstag_06;0x2088
NRF_Schaltzeiten_M1_WW_Dienstag_01;Schaltzeiten_M1_WW_Dienstag_01;0x2088
NRF_Schaltzeiten_M1_WW_Dienstag_03;Schaltzeiten_M1_WW_Dienstag_03;0x2088
NRF_Schaltzeiten_M1_WW_Dienstag_00;Schaltzeiten_M1_WW_Dienstag_00;0x2088
NRF_Schaltzeiten_M1_WW_Dienstag_07;Schaltzeiten_M1_WW_Dienstag_07;0x2088
NRF_Schaltzeiten_M1_WW_Dienstag_05;Schaltzeiten_M1_WW_Dienstag_05;0x2088
NRF_Schaltzeiten_M1_WW_Dienstag_02;Schaltzeiten_M1_WW_Dienstag_02;0x2088
NRF_Schaltzeiten_M1_WW_Mittwoch_00;Schaltzeiten_M1_WW_Mittwoch_00;0x2090
NRF_Schaltzeiten_M1_WW_Mittwoch_06;Schaltzeiten_M1_WW_Mittwoch_06;0x2090
NRF_Schaltzeiten_M1_WW_Mittwoch_01;Schaltzeiten_M1_WW_Mittwoch_01;0x2090
NRF_Schaltzeiten_M1_WW_Mittwoch_02;Schaltzeiten_M1_WW_Mittwoch_02;0x2090
NRF_Schaltzeiten_M1_WW_Mittwoch_07;Schaltzeiten_M1_WW_Mittwoch_07;0x2090
NRF_Schaltzeiten_M1_WW_Mittwoch_05;Schaltzeiten_M1_WW_Mittwoch_05;0x2090
NRF_Schaltzeiten_M1_WW_Mittwoch_04;Schaltzeiten_M1_WW_Mittwoch_04;0x2090
NRF_Schaltzeiten_M1_WW_Mittwoch_03;Schaltzeiten_M1_WW_Mittwoch_03;0x2090
NRF_Schaltzeiten_M1_WW_Donnerstag_03;Schaltzeiten_M1_WW_Donnerstag_03;0x2098
NRF_Schaltzeiten_M1_WW_Donnerstag_06;Schaltzeiten_M1_WW_Donnerstag_06;0x2098
NRF_Schaltzeiten_M1_WW_Donnerstag_02;Schaltzeiten_M1_WW_Donnerstag_02;0x2098
NRF_Schaltzeiten_M1_WW_Donnerstag_05;Schaltzeiten_M1_WW_Donnerstag_05;0x2098
NRF_Schaltzeiten_M1_WW_Donnerstag_04;Schaltzeiten_M1_WW_Donnerstag_04;0x2098
NRF_Schaltzeiten_M1_WW_Donnerstag_07;Schaltzeiten_M1_WW_Donnerstag_07;0x2098
NRF_Schaltzeiten_M1_WW_Donnerstag_01;Schaltzeiten_M1_WW_Donnerstag_01;0x2098
NRF_Schaltzeiten_M1_WW_Donnerstag_00;Schaltzeiten_M1_WW_Donnerstag_00;0x2098
NRF_Schaltzeiten_M1_WW_Freitag_06;Schaltzeiten_M1_WW_Freitag_06;0x20A0
NRF_Schaltzeiten_M1_WW_Freitag_03;Schaltzeiten_M1_WW_Freitag_03;0x20A0
NRF_Schaltzeiten_M1_WW_Freitag_01;Schaltzeiten_M1_WW_Freitag_01;0x20A0
NRF_Schaltzeiten_M1_WW_Freitag_07;Schaltzeiten_M1_WW_Freitag_07;0x20A0
NRF_Schaltzeiten_M1_WW_Freitag_05;Schaltzeiten_M1_WW_Freitag_05;0x20A0
NRF_Schaltzeiten_M1_WW_Freitag_04;Schaltzeiten_M1_WW_Freitag_04;0x20A0
NRF_Schaltzeiten_M1_WW_Freitag_02;Schaltzeiten_M1_WW_Freitag_02;0x20A0
NRF_Schaltzeiten_M1_WW_Freitag_00;Schaltzeiten_M1_WW_Freitag_00;0x20A0
NRF_Schaltzeiten_M1_WW_Samstag_03;Schaltzeiten_M1_WW_Samstag_03;0x20A8
NRF_Schaltzeiten_M1_WW_Samstag_02;Schaltzeiten_M1_WW_Samstag_02;0x20A8
NRF_Schaltzeiten_M1_WW_Samstag_07;Schaltzeiten_M1_WW_Samstag_07;0x20A8
NRF_Schaltzeiten_M1_WW_Samstag_00;Schaltzeiten_M1_WW_Samstag_00;0x20A8
NRF_Schaltzeiten_M1_WW_Samstag_06;Schaltzeiten_M1_WW_Samstag_06;0x20A8
NRF_Schaltzeiten_M1_WW_Samstag_04;Schaltzeiten_M1_WW_Samstag_04;0x20A8
NRF_Schaltzeiten_M1_WW_Samstag_01;Schaltzeiten_M1_WW_Samstag_01;0x20A8
NRF_Schaltzeiten_M1_WW_Samstag_05;Schaltzeiten_M1_WW_Samstag_05;0x20A8
NRF_Schaltzeiten_M1_WW_Sonntag_00;Schaltzeiten_M1_WW_Sonntag_00;0x20B0
NRF_Schaltzeiten_M1_WW_Sonntag_07;Schaltzeiten_M1_WW_Sonntag_07;0x20B0
NRF_Schaltzeiten_M1_WW_Sonntag_02;Schaltzeiten_M1_WW_Sonntag_02;0x20B0
NRF_Schaltzeiten_M1_WW_Sonntag_06;Schaltzeiten_M1_WW_Sonntag_06;0x20B0
NRF_Schaltzeiten_M1_WW_Sonntag_04;Schaltzeiten_M1_WW_Sonntag_04;0x20B0
NRF_Schaltzeiten_M1_WW_Sonntag_01;Schaltzeiten_M1_WW_Sonntag_01;0x20B0
NRF_Schaltzeiten_M1_WW_Sonntag_05;Schaltzeiten_M1_WW_Sonntag_05;0x20B0
NRF_Schaltzeiten_M1_WW_Sonntag_03;Schaltzeiten_M1_WW_Sonntag_03;0x20B0
NRF_Schaltzeiten_M1_ZP_Montag_01;Schaltzeiten_M1_ZP_Montag_01;0x2100
Schaltzeiten_A1M1_WW_Montag_04;Schaltzeiten_A1M1_WW_Montag_04;0x2100
Schaltzeiten_A1M1_WW_Montag_06;Schaltzeiten_A1M1_WW_Montag_06;0x2100
Schaltzeiten_A1M1_WW_Montag_05;Schaltzeiten_A1M1_WW_Montag_05;0x2100
NRF_Schaltzeiten_M1_ZP_Montag_00;Schaltzeiten_M1_ZP_Montag_00;0x2100
NRF_Schaltzeiten_M1_ZP_Montag_05;Schaltzeiten_M1_ZP_Montag_05;0x2100
Schaltzeiten_A1M1_WW_Montag_00;Schaltzeiten_A1M1_WW_Montag_00;0x2100
NRF_Schaltzeiten_M1_ZP_Montag_07;Schaltzeiten_M1_ZP_Montag_07;0x2100
Schaltzeiten_A1M1_WW_Montag_01;Schaltzeiten_A1M1_WW_Montag_01;0x2100
Schaltzeiten_A1M1_WW_Montag_07;Schaltzeiten_A1M1_WW_Montag_07;0x2100
Schaltzeiten_A1M1_WW_Montag_03;Schaltzeiten_A1M1_WW_Montag_03;0x2100
NRF_Schaltzeiten_M1_ZP_Montag_04;Schaltzeiten_M1_ZP_Montag_04;0x2100
